Startup Name,Industry Vertical,SubVertical,City,Investors,Investment Type,Amount,Date,Total Companies Investment,Partners,Seed Companies,Loss/Profit,Additional Notes
Zepto,E-commerce/Quick Commerce,Quick Commerce,Mumbai,"Tiger Global, Sequoia, SoftBank",Series F,$1.4B,2024,$1.4B,"Tiger Global, Sequoia",N/A,Loss narrowing,Achieved unicorn status in 2023
Groww,Fintech,Wealth Management,Bengaluru,"GIC, ICONIQ Capital",Series F,$200M,2025-06-13,$200M,"GIC, ICONIQ Capital",N/A,Returned to profitability,Valued at $7B
Meesho,E-commerce,Social Commerce,Bengaluru,"Prosus, Sequoia, Lightbox",Series F,$550M,2025-Q1,$550M,"Prosus, Sequoia",N/A,Growing revenue,One of India's largest e-commerce rounds
PB Healthcare,Healthcare,Healthtech,Delhi,Undisclosed,Seed,$218M,2025-H1,$218M,Undisclosed,N/A,Largest seed round,Significant for healthcare sector
Zomato,Foodtech,Online Food Delivery,Mumbai,"Tiger Global, Sequoia, Temasek",Series G,$1B+,2024,$1B+,"Tiger Global, Sequoia",N/A,Market leader,One of India's largest foodtech rounds
PharmEasy,Healthtech,Online Pharmacy,Mumbai,"Temasek, KKR, SoftBank",Series F,$200M+,2024,$200M+,"Temasek, KKR",N/A,Strong growth,Leading healthtech platform
Rebel Foods,Foodtech,Cloud Kitchen,Mumbai,"KKR, Goldman Sachs",Series F,$200M+,2024,$200M+,"KKR, Goldman Sachs",N/A,Expanding operations,Global cloud kitchen leader
Rapido,Mobility,Bike Taxi,Bengaluru,"Accel, Tiger Global",Series E,$200M+,2024,$200M+,"Accel, Tiger Global",N/A,Market expansion,Leading bike taxi platform
Finova Capital,Fintech,NBFC,Mumbai,"Avataar Venture Partners, Sofina",Series E,$135M,2024-10-01,$135M,"Avataar Venture Partners, Sofina",N/A,Profitability,Strong financial performance
BlueStone,Retail,Omnichannel Jewellery,Mumbai,"A91 Partners, Faering Capital",Series F,$106M,2024-08-01,$106M,"A91 Partners, Faering Capital",N/A,Omnichannel growth,Leading jewellery retailer
Eruditus,Edtech,Professional Education,Bengaluru,TPG The Rise Fund,Series F,$150M,2024-09-01,$150M,TPG The Rise Fund,N/A,Global expansion,Top professional education platform
HealthKart,Healthtech,Online Health Products,Mumbai,Undisclosed,Series F,$100M+,2024,$100M+,Undisclosed,N/A,Market leader,Leading health products platform
Udaan,B2B E-commerce,Wholesale,Bengaluru,"M&G Plc, Lightspeed",Series G,$75M+,2025-02-01,$75M,"M&G Plc, Lightspeed",N/A,B2B growth,Leading B2B commerce platform
Essar GreenLine,Mobility,Electric Vehicles,Mumbai,"Nikhil Kamath, Undisclosed",Series A,$275M,2025-Q2,$275M,Nikhil Kamath,N/A,EV expansion,Leading electric mobility platform
PhonePe,Fintech,Payments,Bengaluru,Walmart,Strategic Investment,$200M,2023-03-01,$200M,Walmart,N/A,Expanding UPI services,Focus on UPI-based credit and UPI Lite
DMI Finance,Fintech,Lending,Mumbai,Undisclosed,Series Round,$334M,2024,$334M,Undisclosed,N/A,Strong growth,One of India's largest lending fintech deals
PB Healthcare,Healthtech,Health Delivery Platform,Delhi,Undisclosed,Seed,$218M,2025-Q2,$218M,Undisclosed,N/A,Largest seed round in Q2 2025,Tech-enabled health delivery platform
Innovaccer,Healthtech,Healthcare Analytics,Bengaluru,Undisclosed,Series Round,$275M,2025-H1,$275M,Undisclosed,N/A,Strong growth,Leading healthcare analytics platform
Byju's,Edtech,K-12 Education,Bengaluru,"Blackstone, Tiger Global",Series G,$800M,2023,$800M,"Blackstone, Tiger Global",N/A,Market leader,One of the largest edtech rounds globally
